,ADF_p,Stationary,Shapiro_p,Jarque_Bera_p,Normal,RESET_p,Linear,Durbin_Watson,LjungBox_p,No_Autocorrelation
0,0.4492327353597901,False,4.851129880619357e-38,9.558664149895748e-27,False,2.2670006364632719e-41,False,5.878250068885873e-05,0.0,False
1,0.22499806368395342,False,5.953332388257926e-43,6.961876783938907e-88,False,1.3140426089813464e-149,False,3.735561260636549e-05,0.0,False
2,0.6047908050420354,False,2.0687554288978315e-43,2.0712079518270525e-99,False,5.499526004641084e-05,False,2.919940217867018e-05,0.0,False
3,0.49026701292974617,False,1.2810941987398007e-44,3.828408492831421e-100,False,1.555396439585324e-291,False,5.503070209630947e-05,0.0,False
4,0.0490518716250869,True,2.9261322315089767e-62,5.902755715740729e-191,False,0.0,False,0.0001048784607983129,0.0,False
5,0.23650127824509776,False,1.7196292876388564e-45,5.206288203875713e-143,False,1.6102440490262454e-87,False,4.6559284213030016e-05,0.0,False
6,0.40670097211565404,False,6.018771314878622e-48,8.762059396343935e-115,False,3.6415896848111664e-153,False,1.5548469902268217e-05,0.0,False
OT,0.41664617241834967,False,1.3522119003677439e-31,3.191772559585177e-46,False,3.447020477586195e-47,False,5.355741739401726e-05,0.0,False
